epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,10098.4,0.74707,0.67704,1.01344,0.84593,0.81482,0.87705,0.72137,0.62385,0.69571,0.96936,0.000768802,0.000768802,0.000768802
72,10243.3,0.77377,0.64912,1.01716,0.81096,0.90178,0.8945,0.71463,0.61166,0.61515,0.96192,0.000759371,0.000759371,0.000759371
73,10387.7,0.79099,0.62485,1.0174,0.8624,0.85545,0.88667,0.724,0.59713,0.6131,0.94432,0.000749939,0.000749939,0.000749939
74,10532,0.72478,0.63112,1.00061,0.90869,0.85662,0.89216,0.7173,0.60782,0.598,0.96947,0.000740508,0.000740508,0.000740508
75,10676.3,0.75127,0.62851,1.00459,0.8657,0.87296,0.87373,0.70082,0.60959,0.63852,0.95705,0.000731076,0.000731076,0.000731076
76,10821.5,0.74329,0.61601,1.00486,0.87534,0.87144,0.90114,0.73859,0.5773,0.58612,0.94544,0.000721645,0.000721645,0.000721645
77,10965.8,0.73269,0.60187,1.00365,0.91173,0.89979,0.89083,0.7329,0.60613,0.58248,0.95353,0.000712214,0.000712214,0.000712214
78,11110.4,0.77343,0.64551,1.00841,0.8547,0.86545,0.88806,0.7172,0.62443,0.61632,0.96334,0.000702782,0.000702782,0.000702782
79,11254.7,0.71343,0.62591,0.99355,0.87579,0.88638,0.90036,0.72601,0.607,0.61045,0.95865,0.000693351,0.000693351,0.000693351
80,11399,0.75679,0.60888,1.00969,0.90291,0.88395,0.91765,0.73152,0.62508,0.53418,0.96159,0.000683919,0.000683919,0.000683919
81,11543.2,0.74775,0.59108,1.01142,0.91785,0.87909,0.90632,0.73023,0.61665,0.55398,0.95827,0.000674488,0.000674488,0.000674488
82,11687.7,0.77059,0.60996,1.01937,0.90002,0.85883,0.90093,0.73415,0.596,0.59033,0.95303,0.000665057,0.000665057,0.000665057
83,11832.2,0.73913,0.59526,1.00641,0.8951,0.87588,0.90411,0.72183,0.6086,0.56196,0.9485,0.000655625,0.000655625,0.000655625
84,11976.5,0.72753,0.60637,0.99508,0.85108,0.87131,0.88808,0.72948,0.57649,0.65077,0.93416,0.000646194,0.000646194,0.000646194
85,12120.9,0.73048,0.60448,0.99796,0.91011,0.88843,0.90188,0.73242,0.58268,0.56648,0.95595,0.000636762,0.000636762,0.000636762
